state,city,county,median_value,median_tax
New York,Holtsville,suffolk,539500,1.8538
New York,Fishers Island,suffolk,539500,1.8538
New York,GPO,new york,1108900,0.9019
New York,New York,new york,1108900,0.9019
New York,Staten Island,richmond,658500,0.9224
New York,Bronx,bronx,517000,1.0271
New York,Amawalk,westchester,638400,1.5666
New York,Ardsley,westchester,638400,1.5666
New York,Ardsley On Hudson,westchester,638400,1.5666
New York,Armonk,westchester,638400,1.5666
New York,Baldwin Place,westchester,638400,1.5666
New York,Bedford,westchester,638400,1.5666
New York,Bedford Hills,westchester,638400,1.5666
New York,Brewster,putnam,448000,2.2324
New York,Briarcliff Manor,westchester,638400,1.5666
New York,Buchanan,westchester,638400,1.5666
New York,Carmel,putnam,448000,2.2324
New York,Chappaqua,westchester,638400,1.5666
New York,Cold Spring,putnam,448000,2.2324
New York,Crompond,westchester,638400,1.5666
New York,Cross River,westchester,638400,1.5666
New York,Croton Falls,westchester,638400,1.5666
New York,Croton On Hudson,westchester,638400,1.5666
New York,Dobbs Ferry,westchester,638400,1.5666
New York,Elmsford,westchester,638400,1.5666
New York,Garrison,putnam,448000,2.2324
New York,Goldens Bridge,westchester,638400,1.5666
New York,Granite Springs,westchester,638400,1.5666
New York,Harrison,westchester,638400,1.5666
New York,Hartsdale,westchester,638400,1.5666
New York,Hawthorne,westchester,638400,1.5666
New York,Irvington,westchester,638400,1.5666
New York,Jefferson Valley,westchester,638400,1.5666
New York,Katonah,westchester,638400,1.5666
New York,Lake Peekskill,putnam,448000,2.2324
New York,Larchmont,westchester,638400,1.5666
New York,Lincolndale,westchester,638400,1.5666
New York,Mahopac,putnam,448000,2.2324
New York,Mahopac Falls,putnam,448000,2.2324
New York,Mamaroneck,westchester,638400,1.5666
New York,Maryknoll,westchester,638400,1.5666
New York,Millwood,westchester,638400,1.5666
New York,Mohegan Lake,westchester,638400,1.5666
New York,Montrose,westchester,638400,1.5666
New York,Mount Kisco,westchester,638400,1.5666
New York,Mount Vernon,westchester,638400,1.5666
New York,North Salem,westchester,638400,1.5666
New York,Ossining,westchester,638400,1.5666
New York,Peekskill,westchester,638400,1.5666
New York,Cortlandt Manor,westchester,638400,1.5666
New York,Pleasantville,westchester,638400,1.5666
New York,Port Chester,westchester,638400,1.5666
New York,Pound Ridge,westchester,638400,1.5666
New York,Purchase,westchester,638400,1.5666
New York,Purdys,westchester,638400,1.5666
New York,Putnam Valley,putnam,448000,2.2324
New York,Rye,westchester,638400,1.5666
New York,Scarsdale,westchester,638400,1.5666
New York,Shenorock,westchester,638400,1.5666
New York,Shrub Oak,westchester,638400,1.5666
New York,Somers,westchester,638400,1.5666
New York,South Salem,westchester,638400,1.5666
New York,Tarrytown,westchester,638400,1.5666
New York,Thornwood,westchester,638400,1.5666
New York,Valhalla,westchester,638400,1.5666
New York,Verplanck,westchester,638400,1.5666
New York,Waccabuc,westchester,638400,1.5666
New York,Yorktown Heights,westchester,638400,1.5666
New York,White Plains,westchester,638400,1.5666
New York,West Harrison,westchester,638400,1.5666
New York,Yonkers,westchester,638400,1.5666
New York,Hastings On Hudson,westchester,638400,1.5666
New York,Tuckahoe,westchester,638400,1.5666
New York,Bronxville,westchester,638400,1.5666
New York,Eastchester,westchester,638400,1.5666
New York,New Rochelle,westchester,638400,1.5666
New York,Pelham,westchester,638400,1.5666
New York,Suffern,rockland,564200,1.7726
New York,Arden,orange,361100,2.3437
New York,Bear Mountain,rockland,564200,1.7726
New York,Bellvale,orange,361100,2.3437
New York,Blauvelt,rockland,564200,1.7726
New York,Blooming Grove,orange,361100,2.3437
New York,Bullville,orange,361100,2.3437
New York,Campbell Hall,orange,361100,2.3437
New York,Central Valley,orange,361100,2.3437
New York,Chester,orange,361100,2.3437
New York,Circleville,orange,361100,2.3437
New York,Congers,rockland,564200,1.7726
New York,Florida,orange,361100,2.3437
New York,Fort Montgomery,orange,361100,2.3437
New York,Garnerville,rockland,564200,1.7726
New York,Goshen,orange,361100,2.3437
New York,Greenwood Lake,orange,361100,2.3437
New York,Harriman,orange,361100,2.3437
New York,Haverstraw,rockland,564200,1.7726
New York,Highland Falls,orange,361100,2.3437
New York,Highland Mills,orange,361100,2.3437
New York,Hillburn,rockland,564200,1.7726
New York,Howells,orange,361100,2.3437
New York,Johnson,orange,361100,2.3437
New York,Middletown,orange,361100,2.3437
New York,Monroe,orange,361100,2.3437
New York,Monsey,rockland,564200,1.7726
New York,Mountainville,orange,361100,2.3437
New York,Nanuet,rockland,564200,1.7726
New York,New City,rockland,564200,1.7726
New York,New Hampton,orange,361100,2.3437
New York,New Milford,orange,361100,2.3437
New York,Nyack,rockland,564200,1.7726
New York,Grand View-On-Hudson,rockland,564200,1.7726
New York,Orangeburg,rockland,564200,1.7726
New York,Otisville,orange,361100,2.3437
New York,Palisades,rockland,564200,1.7726
New York,Pearl River,rockland,564200,1.7726
New York,Piermont,rockland,564200,1.7726
New York,Pine Island,orange,361100,2.3437
New York,Pomona,rockland,564200,1.7726
New York,Slate Hill,orange,361100,2.3437
New York,Sloatsburg,rockland,564200,1.7726
New York,Southfields,orange,361100,2.3437
New York,Sparkill,rockland,564200,1.7726
New York,Spring Valley,rockland,564200,1.7726
New York,Sterling Forest,orange,361100,2.3437
New York,Stony Point,rockland,564200,1.7726
New York,Sugar Loaf,orange,361100,2.3437
New York,Tallman,rockland,564200,1.7726
New York,Tappan,rockland,564200,1.7726
New York,Thiells,rockland,564200,1.7726
New York,Thompson Ridge,orange,361100,2.3437
New York,Tomkins Cove,rockland,564200,1.7726
New York,Tuxedo Park,orange,361100,2.3437
New York,Unionville,orange,361100,2.3437
New York,Valley Cottage,rockland,564200,1.7726
New York,Warwick,orange,361100,2.3437
New York,Washingtonville,orange,361100,2.3437
New York,West Haverstraw,rockland,564200,1.7726
New York,West Nyack,rockland,564200,1.7726
New York,West Point,orange,361100,2.3437
New York,Westtown,orange,361100,2.3437
New York,Floral Park,queens,699200,0.8767
New York,South Floral Park,nassau,658700,1.5183
New York,Bellerose Village,nassau,658700,1.5183
New York,Elmont,nassau,658700,1.5183
New York,Glen Oaks,queens,699200,0.8767
New York,Franklin Square,nassau,658700,1.5183
New York,Great Neck,nassau,658700,1.5183
New York,Manhasset,nassau,658700,1.5183
New York,New Hyde Park,nassau,658700,1.5183
New York,Port Washington,nassau,658700,1.5183
New York,Inwood,nassau,658700,1.5183
New York,Long Island City,queens,699200,0.8767
New York,Astoria,queens,699200,0.8767
New York,Sunnyside,queens,699200,0.8767
New York,Brooklyn,kings,889700,0.6879
New York,Flushing,queens,699200,0.8767
New York,College Point,queens,699200,0.8767
New York,Whitestone,queens,699200,0.8767
New York,Bayside,queens,699200,0.8767
New York,Little Neck,queens,699200,0.8767
New York,Oakland Gardens,queens,699200,0.8767
New York,Fresh Meadows,queens,699200,0.8767
New York,Corona,queens,699200,0.8767
New York,East Elmhurst,queens,699200,0.8767
New York,Jackson Heights,queens,699200,0.8767
New York,Elmhurst,queens,699200,0.8767
New York,Rego Park,queens,699200,0.8767
New York,Forest Hills,queens,699200,0.8767
New York,Woodside,queens,699200,0.8767
New York,Maspeth,queens,699200,0.8767
New York,Middle Village,queens,699200,0.8767
New York,Ridgewood,queens,699200,0.8767
New York,Jamaica,queens,699200,0.8767
New York,Cambria Heights,queens,699200,0.8767
New York,Saint Albans,queens,699200,0.8767
New York,Springfield Gardens,queens,699200,0.8767
New York,Howard Beach,queens,699200,0.8767
New York,Kew Gardens,queens,699200,0.8767
New York,Ozone Park,queens,699200,0.8767
New York,Richmond Hill,queens,699200,0.8767
New York,South Richmond Hill,queens,699200,0.8767
New York,South Ozone Park,queens,699200,0.8767
New York,Woodhaven,queens,699200,0.8767
New York,Rosedale,queens,699200,0.8767
New York,Hollis,queens,699200,0.8767
New York,Bellerose,queens,699200,0.8767
New York,Queens Village,queens,699200,0.8767
New York,Mineola,nassau,658700,1.5183
New York,Albertson,nassau,658700,1.5183
New York,Atlantic Beach,nassau,658700,1.5183
New York,Baldwin,nassau,658700,1.5183
New York,Carle Place,nassau,658700,1.5183
New York,Cedarhurst,nassau,658700,1.5183
New York,East Rockaway,nassau,658700,1.5183
New York,Freeport,nassau,658700,1.5183
New York,Garden City,nassau,658700,1.5183
New York,ABMPS,nassau,658700,1.5183
New York,Glen Cove,nassau,658700,1.5183
New York,Glen Head,nassau,658700,1.5183
New York,Glenwood Landing,nassau,658700,1.5183
New York,Greenvale,nassau,658700,1.5183
New York,Hempstead,nassau,658700,1.5183
New York,West Hempstead,nassau,658700,1.5183
New York,Uniondale,nassau,658700,1.5183
New York,East Meadow,nassau,658700,1.5183
New York,Hewlett,nassau,658700,1.5183
New York,Island Park,nassau,658700,1.5183
New York,Lawrence,nassau,658700,1.5183
New York,Locust Valley,nassau,658700,1.5183
New York,Long Beach,nassau,658700,1.5183
New York,Lynbrook,nassau,658700,1.5183
New York,Malverne,nassau,658700,1.5183
New York,Merrick,nassau,658700,1.5183
New York,Old Westbury,nassau,658700,1.5183
New York,Point Lookout,nassau,658700,1.5183
New York,Rockville Centre,nassau,658700,1.5183
New York,RVC,nassau,658700,1.5183
New York,Oceanside,nassau,658700,1.5183
New York,Roosevelt,nassau,658700,1.5183
New York,Roslyn,nassau,658700,1.5183
New York,Roslyn Heights,nassau,658700,1.5183
New York,Sea Cliff,nassau,658700,1.5183
New York,Valley Stream,nassau,658700,1.5183
New York,Westbury,nassau,658700,1.5183
New York,Williston Park,nassau,658700,1.5183
New York,Woodmere,nassau,658700,1.5183
New York,Far Rockaway,queens,699200,0.8767
New York,Arverne,queens,699200,0.8767
New York,Rockaway Park,queens,699200,0.8767
New York,Breezy Point,queens,699200,0.8767
New York,Amityville,suffolk,539500,1.8538
New York,Babylon,suffolk,539500,1.8538
New York,North Babylon,suffolk,539500,1.8538
New York,West Babylon,suffolk,539500,1.8538
New York,Bayport,suffolk,539500,1.8538
New York,Bay Shore,suffolk,539500,1.8538
New York,Bayville,nassau,658700,1.5183
New York,Bellmore,nassau,658700,1.5183
New York,Bellport,suffolk,539500,1.8538
New York,Bethpage,nassau,658700,1.5183
New York,Blue Point,suffolk,539500,1.8538
New York,Bohemia,suffolk,539500,1.8538
New York,Brentwood,suffolk,539500,1.8538
New York,Brightwaters,suffolk,539500,1.8538
